B2,B3,B4,B8,rh98,region
0.0311,0.05235,0.0363,0.28045,21.459999,WesternGhats
0.028,0.04845,0.0284,0.29035,5.610000133514404,WesternGhats
0.0269,0.0484,0.0257,0.3249,18.959999,WesternGhats
0.0269,0.0458,0.0263,0.256,22.629999,WesternGhats
0.0422,0.06235,0.073,0.25765,11.289999961853027,WesternGhats
0.0241,0.0434,0.0244,0.2656,13.09000015258789,WesternGhats
0.02285,0.0399,0.021,0.24555,28.65999984741211,WesternGhats
0.0414,0.0679,0.0798,0.2809,8.9399995803833,WesternGhats
0.03225,0.04805,0.03015,0.2727,17.729999542236328,WesternGhats
0.0314,0.0516,0.0316,0.3091,12.390000343322754,WesternGhats
0.0313,0.04945,0.03745,0.2157,13.399999618530273,WesternGhats
0.02915,0.0528,0.03385,0.28045,19.5,WesternGhats
0.0302,0.05575,0.03575,0.304,15.869999885559082,WesternGhats
0.02815,0.0471,0.0318,0.26105,15.760000228881836,WesternGhats
0.0275,0.0484,0.0342,0.2695,23.81999969482422,WesternGhats
0.0252,0.0442,0.0269,0.2796,18.450001,WesternGhats
0.0273,0.0503,0.0332,0.2755,20.079999923706055,WesternGhats
0.0263,0.04245,0.03625,0.1978,19.020000457763672,WesternGhats
0.0271,0.0455,0.0334,0.2226,12.449999809265137,WesternGhats
0.03935,0.06035,0.0626,0.2629,7.300000190734863,WesternGhats
0.0319,0.0506,0.0413,0.2467,31.850000381469727,WesternGhats
0.02575,0.0434,0.0292,0.24355,19.43000030517578,WesternGhats
0.0374,0.0581,0.05005,0.2727,14.0,WesternGhats
0.02195,0.03495,0.02415,0.18805,20.889999,WesternGhats
0.0249,0.0426,0.0285,0.2322,18.280001,WesternGhats
0.0314,0.0569,0.0376,0.3212,11.899999618530273,WesternGhats
0.0249,0.0452,0.0276,0.2737,25.15999984741211,WesternGhats
0.06975,0.09305,0.0953,0.23565,13.039999961853027,WesternGhats
0.0311,0.05,0.03135,0.28055,9.210000038146973,WesternGhats
0.0336,0.05335,0.03425,0.2872,17.719999,WesternGhats
0.0291,0.0484,0.0312,0.2773,13.600000381469727,WesternGhats
0.0306,0.0529,0.0287,0.3216,14.569999694824219,WesternGhats
0.0306,0.0556,0.0365,0.2975,23.190001,WesternGhats
0.03085,0.04925,0.03945,0.2789,8.600000381469727,WesternGhats
0.0284,0.0512,0.0275,0.3224,17.579999923706055,WesternGhats
0.05385,0.07515,0.07475,0.2468,15.729999542236328,WesternGhats
0.04555,0.06865,0.05535,0.3253,13.819999694824219,WesternGhats
